id;client_id;client_username;specialist_id;specialist_username;sender;receiver;text;voice;voice_content_type
1;7058;connect Credit Card Account;39328;Soft;Checking Account Communications Coordinator;envisioneer RAM Function-based;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;28656;frictionless District;32699;Awesome;Moroccan Dirham digital empower;Buckinghamshire Utah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;48832;Incredible;84482;Gloves;digital Shirt Marketing;reboot digital Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;6945;Representative;37100;Personal Loan Account parsing synergies;Jewelery analyzer Heard Island and McDonald Islands;dot-com programming;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;68472;Buckinghamshire;73887;Intelligent IB;payment Rubber;open-source;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;41860;system Applications;7617;foreground North Dakota;Berkshire Operations action-items;panel Sri Lanka Rupee transmitting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;31002;yellow cross-platform;52160;International parse;backing up;Unbranded Concrete Ball Customer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;599;calculate generating Leone;61267;Washington;Officer;initiative Concrete ivory;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;48990;web services;82151;hardware Intranet yellow;Berkshire HDD;SDD contingency optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;53994;transmit collaborative;94488;Home Loan Account;payment;Implementation Nepalese Rupee Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
